component_number,scaled_hash_forward,scaled_hash_reverse,family,source_split_code,source_split,destination_split_code,destination_split,source_row_index,raw_row_count,original_hash_forward,original_hash_reverse
211,4256059135795428933,5512312312586534036,0,0,train,1,validation,886505,1,3026259823813983635,4456417364106746976
212,4258100858629410602,-2312454991355671570,0,1,validation,0,train,235283,1,-7793226494509630253,6630543826688514842
213,4280723130663196816,2747679080250015142,0,0,train,1,validation,888991,1,8871428562132617277,-8174244328927791373
214,4302561655936190544,6550261993245288303,0,2,test,0,train,344479,1,3022373326041355947,4476335180814889396
215,4336746800825118379,2229045036784208807,0,0,train,2,test,900406,1,-1633723689605929090,4823024636245360334
216,4421481580486087093,-2249550079815984628,0,2,test,0,train,231593,1,-4126530954167523293,-5968354897064270551
217,4489002311860570048,-97676452721821257,0,0,train,2,test,892582,1,7108705688614929520,-4116300349148149836
217,4489002311860570048,-97676452721821257,0,1,validation,2,test,233192,1,349010324004926700,-5793346510588236998
218,4498996533986759447,-5207573510783112419,0,1,validation,0,train,232772,1,2723848714667376,-7389328567851062855
218,4498996533986759447,-5207573510783112419,0,2,test,0,train,344052,1,8583191889005579644,1204063808960740838
219,4542139536505334632,-7975329734145484021,0,2,test,0,train,232827,1,4242914910948110606,2175838769566455279
220,4636227653405902155,2759533824136218783,0,0,train,2,test,884136,1,-8802979820413931585,-6994934103658946202
220,4636227653405902155,2759533824136218783,0,1,validation,2,test,236311,1,-8449666976979260748,5808424372390459474
221,4701499068829811722,-2212482939822303319,0,0,train,1,validation,898786,1,7785254413817864132,-3624541762405284767
222,4730591960827376245,5996019871955722594,0,0,train,2,test,1439815,1,7436282712815127607,-3562707067424485464
223,4797763231512418314,-761955307140050983,0,0,train,1,validation,893092,1,-1101436151674870065,5447484956179942822
224,4919109734522711009,4721650030910896102,0,2,test,0,train,235424,1,2003219807985043238,8071253397620010276
225,4953643390965429421,-802664816463290175,0,0,train,2,test,1394608,1,3895978723417315884,-5736160903334219065
226,5231400631061736724,-879969959100797083,0,2,test,0,train,341847,1,6330199010397717549,-3338115412502364342
226,5231400631061736724,-879969959100797083,0,2,test,0,train,345571,1,-3666365866448383090,7207479089881324109
227,5480138797689008271,7175529434621136410,0,0,train,2,test,887357,1,-5111534587413728085,2121416442952484616
228,5644648560773141246,8486741721381908147,0,0,train,1,validation,899435,1,-3881839605645098774,-6382176823472485524
229,5770310085684829679,-8491476314315211662,0,2,test,0,train,344852,1,1812292571946874882,6057468728761324226
230,5791025076549567957,-9178719476928527659,0,1,validation,0,train,234169,1,-2825730608809320485,7711852659025714357
231,5808931940663415653,4525445805423290541,0,0,train,1,validation,888722,1,4909260450598750724,-2559829785295564637
232,5858401803717944921,6429035160129752036,0,1,validation,2,test,232934,1,6041781420876557668,1648324181366129498
233,5871071958147182680,-8844623086083061854,0,1,validation,0,train,234711,1,5813747945348440697,2737613767063044216
234,6135076463088644635,-7514889459306060436,0,1,validation,0,train,338000,1,-6924794340533282560,-3529739334886429034
235,6254644928732621098,7500661203770151228,0,0,train,1,validation,887486,1,9131477354439015710,1935727632177256933
236,6270149200155376304,-2866964848586992295,0,1,validation,0,train,339499,1,-4042452152310261567,3181702676455207270
236,6270149200155376304,-2866964848586992295,0,2,test,0,train,235167,1,1975247182659337079,-5518104389947151074
237,6292251465435757185,2507699557490640180,0,1,validation,0,train,233596,1,-340831381725475772,-9130546948459624951
237,6292251465435757185,2507699557490640180,0,1,validation,0,train,236216,1,6909145207055588365,8572195953057206614
237,6292251465435757185,2507699557490640180,0,1,validation,0,train,344119,1,-1468012370707421888,4150728511106463440
238,6442560236004440565,4386302762659127013,0,0,train,2,test,881981,1,-8958046026503300370,2218410899794291184
239,6462600081463648463,4409247938512733362,0,0,train,2,test,899675,1,9156121699995624243,4479208151014013735
240,6502937952005899942,8150002740482344395,0,0,train,1,validation,1437596,1,7779667257942474091,1087925935735927791
241,6503713409487610115,-1170820823786180745,0,2,test,0,train,232567,1,-8416231745345697493,8268318528007367385
242,6638674331713786349,6186915081644511619,0,0,train,1,validation,878789,1,-5742539717957594602,-4098009664847987896
243,6724348729767811129,-4528111990554500046,0,2,test,1,validation,230955,1,-625216402796441681,151315118009021693
244,6736326104423664353,-1017992408502420288,0,1,validation,0,train,231842,1,-2837530237656784548,-1835382661878249503
245,6828962683159410888,-2216889711560726383,0,1,validation,0,train,233925,1,2059991911408662226,2176063301833751449
246,6887917127866715810,5276470501892048654,0,2,test,0,train,232285,1,417884366632099542,5146896441409202538
247,6951888773035809839,6948732178532942480,0,2,test,0,train,345470,1,5441037121714074464,7350316006340380851
248,7210846062267664921,5413613226487694815,0,1,validation,0,train,235973,1,-7198836946693134764,-7913309737958793107
249,7235306957638954522,-877535519033922244,0,1,validation,0,train,337667,1,-7043555949535634556,-1316371483015371615
250,7253861925978006399,-6932668527807565081,0,0,train,2,test,1404271,1,-4949389743727953261,2131098515057523825
251,7378593615662715142,3862418638414779580,0,2,test,0,train,342550,1,3702304036676968398,2448132901501688817
252,7391758494564455705,8922070432944003526,0,0,train,2,test,897654,1,-7780484275777187973,-2578547347357886884
253,7400790597386044340,5448357666209468836,0,0,train,2,test,878294,1,-8385719227959227664,957290072045814337
253,7400790597386044340,5448357666209468836,0,0,train,2,test,885426,1,4244494361367973211,7767511316103290615
253,7400790597386044340,5448357666209468836,0,0,train,2,test,899960,1,8476371996826756342,8805801403867018735
254,7440245908302227286,8227099343883274513,0,2,test,0,train,339249,1,4401787308371798595,-881929813472703489
255,7460030008507600099,-6902357485842263897,0,0,train,1,validation,1390239,1,-6130122716045125416,-716436075798805512
256,7546659609689211596,4013220211903665770,0,0,train,1,validation,897386,1,-1090579888794542263,4485336668357068204
256,7546659609689211596,4013220211903665770,0,0,train,1,validation,1415321,1,-6463591708609921845,2542489400325220982
257,7578906043401863414,-2630508067223736319,0,1,validation,0,train,343737,1,7334335849711308074,2552004468222747692
257,7578906043401863414,-2630508067223736319,0,2,test,0,train,234083,1,-4268821061121047118,570570042439304979
257,7578906043401863414,-2630508067223736319,0,2,test,0,train,337725,1,5052331708423685072,8078511956744553057
258,7756613589472156195,-4773791504573257547,0,0,train,2,test,895429,1,9221776115763205432,4556425511721010613
259,7778590955508146300,-5432850308729212861,0,2,test,0,train,337714,1,-3521231952537777612,-2245593570419955791
260,7794984990109848530,-5094824500605866156,0,0,train,1,validation,1402201,1,-3501453044440745819,-5883689837020271268
261,7807562466717655859,8240634821701525145,0,2,test,0,train,233903,1,-7283555302510480447,8686101985626101381
262,7893224791758454198,7905877667386938255,0,0,train,1,validation,893789,1,1471678206716326624,5838682941873071335
263,7905778786633500255,2210760946164735667,0,0,train,1,validation,1396426,1,1035900637691763998,-1857780210408061827
264,8045641693975151561,418977518477030826,0,0,train,2,test,1370041,1,-5823609471265908840,3319025832018406325
265,8065778611777484335,-1031062849894513359,0,1,validation,0,train,235143,1,-6518426039135849711,1852388793636987860
266,8095112968979013070,-8510340281018368327,0,0,train,2,test,1469884,1,-7731627954797140697,-139659790373017299
267,8095276658902378296,1990971747460947678,0,0,train,2,test,1439643,1,2959799595065178875,7313898513111590750
268,8107079246829329514,2207941383496626845,0,0,train,2,test,881355,1,479043891445363394,2213398641366318971
269,8133856606318883677,-1038037617063704929,0,0,train,1,validation,883190,1,-1974644172745699527,-1775049855527263250
269,8133856606318883677,-1038037617063704929,0,0,train,1,validation,890032,1,2135300588208109932,2163954355206831766
270,8187035171292358412,-3039779725768298086,0,2,test,0,train,233841,1,-108488148721719052,-404640705791753982
271,8284735615103644490,-16320539663321804,0,1,validation,0,train,342586,1,1721999399370820924,-361430463254009937
272,8299028540306197766,-3818633584532086588,0,0,train,2,test,887142,1,-1011303084694233707,9174578359438915753
273,8312888281022966289,79802694723514447,0,2,test,0,train,234408,1,-8409142750511220755,6161502605441076866
273,8312888281022966289,79802694723514447,0,2,test,0,train,339768,1,6012026536387537384,376383231115297525
274,8328446122135815430,-8230458599408415125,0,1,validation,0,train,235941,1,2566545458704513438,-5381081739290884750
275,8364879685978394551,-221530987888765757,0,1,validation,0,train,344968,1,8476854186251797154,3608345974572496191
276,8400417184459961987,-3817272764625539109,0,0,train,1,validation,878556,1,-5704471338796029791,-8560126127877067310
277,8452732554220233348,1775203948200453007,0,2,test,1,validation,231122,1,1996702014447033897,-4851319555886893059
278,8645369100373841800,-5237926605520406294,0,0,train,2,test,877977,1,-7378680181846999164,-8130547927219457791
278,8645369100373841800,-5237926605520406294,0,0,train,2,test,886277,1,9171106556993761246,-8472379256158093946
279,8749300477439821775,-1225968839449554824,0,0,train,2,test,882198,1,3571613662146547492,-5771835462574863871
280,9088054576390393274,-1521588277812097804,0,2,test,1,validation,233413,1,3448846275727332542,-5441288881259493199
